epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,262.061,1.11192,2.6721,1.30739,0.00605,0.6378,0.29188,0.15482,1.49617,4.19327,1.63322,0.00051677,0.00051677,0.00051677
2,497.79,1.09535,1.8666,1.26001,0.36955,0.24926,0.2499,0.14017,1.49358,3.60796,1.62334,0.000998225,0.000998225,0.000998225
3,738.509,1.09022,1.66729,1.25606,0.64984,0.55906,0.61577,0.36694,1.42389,2.4032,1.49513,0.00142687,0.00142687,0.00142687
4,975.426,1.12504,1.58172,1.29861,0.81697,0.55118,0.66456,0.40281,1.44408,1.89715,1.5254,0.00141945,0.00141945,0.00141945
5,1213.34,1.0761,1.38284,1.24655,0.7857,0.69291,0.77882,0.50639,1.31336,1.63605,1.41631,0.00133693,0.00133693,0.00133693
6,1453.1,1.03501,1.25126,1.20209,0.7829,0.6531,0.71787,0.48775,1.22803,1.69102,1.38461,0.00125442,0.00125442,0.00125442
7,1696.56,1.03986,1.2168,1.22665,0.85989,0.76378,0.83273,0.55438,1.32803,1.31948,1.42819,0.0011719,0.0011719,0.0011719
8,1935,0.99723,1.12368,1.20163,0.96059,0.70866,0.85042,0.57132,1.21724,1.30467,1.32857,0.00108938,0.00108938,0.00108938
9,2173.55,0.98843,1.04739,1.18492,0.86596,0.8139,0.87428,0.5765,1.29146,1.10969,1.44523,0.00100687,0.00100687,0.00100687
10,2413.68,0.95224,1.02725,1.16217,0.94662,0.79528,0.88898,0.59766,1.17351,1.09601,1.30079,0.000924352,0.000924352,0.000924352
11,2654.03,0.81881,0.9345,1.08141,0.92292,0.84859,0.91875,0.60348,1.25156,1.07209,1.42935,0.000841835,0.000841835,0.000841835
12,2894.32,0.81981,0.86321,1.07247,0.88476,0.87402,0.91284,0.59691,1.27698,0.97486,1.41611,0.000759318,0.000759318,0.000759318
13,3144.54,0.80275,0.81343,1.06047,0.91923,0.89764,0.93403,0.63219,1.23318,0.86429,1.3859,0.000676802,0.000676802,0.000676802
14,3393.52,0.77507,0.80487,1.0373,0.9306,0.84467,0.92143,0.65275,1.12405,0.86086,1.26786,0.000594286,0.000594286,0.000594286
15,3638.11,0.74629,0.73565,1.02023,0.92505,0.87463,0.93684,0.64449,1.14976,0.8264,1.31453,0.000511769,0.000511769,0.000511769
16,3879.34,0.74512,0.68137,1.02656,0.90199,0.86956,0.92976,0.63453,1.13405,0.83055,1.30337,0.000429253,0.000429253,0.000429253
17,4120.21,0.71619,0.67422,1.02611,0.94117,0.88177,0.93969,0.66339,1.10702,0.8083,1.23715,0.000346736,0.000346736,0.000346736
18,4358.28,0.68847,0.63309,0.98973,0.91222,0.89764,0.94758,0.66599,1.12503,0.72522,1.29102,0.00026422,0.00026422,0.00026422
19,4596.35,0.65684,0.58101,0.98162,0.93899,0.89764,0.94327,0.66544,1.11362,0.69889,1.28346,0.000181703,0.000181703,0.000181703
20,4833.33,0.67069,0.57768,0.99971,0.94137,0.88504,0.94758,0.67524,1.10051,0.71057,1.26418,9.91865e-05,9.91865e-05,9.91865e-05
