epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.19,1.11836,2.83708,1.39574,0.00622,0.73228,0.34017,0.19655,1.51896,3.93673,1.68014,0.00051677,0.00051677,0.00051677
2,608.618,1.10387,1.84929,1.38416,0.81883,0.10688,0.46503,0.29303,1.51034,3.43255,1.77154,0.000998225,0.000998225,0.000998225
3,891.775,1.11715,1.64498,1.41183,0.16612,0.20472,0.10629,0.04929,1.64677,3.8523,2.02784,0.00142687,0.00142687,0.00142687
4,1202.49,1.10529,1.56445,1.4005,0.60883,0.46457,0.45252,0.24276,1.98164,2.25968,2.51775,0.00141945,0.00141945,0.00141945
5,1526.56,1.04177,1.34739,1.35295,0.8997,0.44882,0.56251,0.35402,1.40656,2.17485,1.73738,0.00133693,0.00133693,0.00133693
6,1847.98,1.04756,1.19755,1.35152,0.76483,0.66584,0.73213,0.48695,1.21053,1.72538,1.62128,0.00125442,0.00125442,0.00125442
7,2199.8,0.98906,1.13406,1.32359,0.94171,0.7632,0.86559,0.57653,1.23038,1.15458,1.60184,0.0011719,0.0011719,0.0011719
8,2563.6,1.00992,1.05353,1.35657,0.85189,0.79528,0.86013,0.55315,1.27762,1.14022,1.60443,0.00108938,0.00108938,0.00108938
9,2871.56,0.9779,0.98238,1.29283,0.79503,0.70866,0.79738,0.52405,1.29005,1.50379,1.61765,0.00100687,0.00100687,0.00100687
10,3173.7,0.93886,0.96539,1.2842,0.87757,0.80315,0.88077,0.5821,1.24906,1.04905,1.5863,0.000924352,0.000924352,0.000924352
11,3474.73,0.83294,0.8989,1.23652,0.9632,0.8244,0.91496,0.62667,1.07038,0.86941,1.48011,0.000841835,0.000841835,0.000841835
12,3775.95,0.7987,0.80068,1.20303,0.87881,0.85039,0.89305,0.58236,1.15937,0.97016,1.53922,0.000759318,0.000759318,0.000759318
13,4055.05,0.74878,0.73397,1.15723,0.93747,0.82635,0.91875,0.62637,1.1953,0.87514,1.52141,0.000676802,0.000676802,0.000676802
14,4330.4,0.76212,0.73788,1.17356,0.93541,0.74803,0.89852,0.62547,1.0511,0.86351,1.45812,0.000594286,0.000594286,0.000594286
15,4598.81,0.75849,0.69339,1.18374,0.9053,0.84252,0.92167,0.63852,1.11887,0.90501,1.4536,0.000511769,0.000511769,0.000511769
16,4875.98,0.72865,0.61123,1.1429,0.90558,0.86614,0.92426,0.65065,1.06565,0.73663,1.43487,0.000429253,0.000429253,0.000429253
17,5173.25,0.70666,0.63142,1.14175,0.94861,0.87209,0.94094,0.66007,1.12907,0.68692,1.49892,0.000346736,0.000346736,0.000346736
18,5471.4,0.6793,0.5615,1.10037,0.89843,0.89764,0.93621,0.6658,1.10665,0.67994,1.46191,0.00026422,0.00026422,0.00026422
19,5778.56,0.64715,0.52755,1.09426,0.89625,0.88428,0.94002,0.66069,1.09715,0.67585,1.45748,0.000181703,0.000181703,0.000181703
20,6063.82,0.67098,0.52493,1.10163,0.95301,0.85827,0.94255,0.66152,1.08382,0.67115,1.44063,9.91865e-05,9.91865e-05,9.91865e-05
