epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,328.328,2.19786,9.75359,2.47708,0.00436,0.84252,0.27183,0.15701,3.13621,13.8837,2.9585,0.00051677,0.00051677,0.00051677
2,660.509,2.34528,7.81972,2.44805,0.87836,0.22746,0.52639,0.3123,2.76791,11.9523,2.93511,0.000998225,0.000998225,0.000998225
3,988.055,2.33639,6.58764,2.41148,0.63081,0.25984,0.37516,0.17482,4.14481,12.0688,4.34699,0.00142687,0.00142687,0.00142687
4,1324.2,2.58198,5.83251,2.57833,0.54145,0.49606,0.48537,0.23757,3.54562,8.91113,3.48254,0.00141945,0.00141945,0.00141945
5,1647.16,2.45234,5.08456,2.4772,0.37116,0.48819,0.40587,0.22157,3.24751,8.5234,3.15424,0.00133693,0.00133693,0.00133693
6,1968.24,2.40243,4.411,2.45085,0.64599,0.55906,0.60838,0.34596,3.30022,6.14414,3.27686,0.00125442,0.00125442,0.00125442
7,2313.21,2.29095,4.03275,2.39732,0.69564,0.56693,0.63842,0.37593,2.87383,4.69517,2.7924,0.0011719,0.0011719,0.0011719
8,2669.44,2.19784,3.48558,2.33619,0.68696,0.6739,0.71592,0.45713,2.64704,4.15674,2.61376,0.00108938,0.00108938,0.00108938
9,3019.34,2.12326,3.23141,2.32169,0.73991,0.6944,0.77349,0.51927,2.45889,3.68611,2.57712,0.00100687,0.00100687,0.00100687
10,3368.96,2.08637,3.01393,2.29418,0.80486,0.66929,0.76324,0.52223,2.52662,3.35066,2.46394,0.000924352,0.000924352,0.000924352
11,3714.15,1.82877,3.18878,2.12829,0.85032,0.69291,0.81164,0.5629,2.35126,3.12594,2.43812,0.000841835,0.000841835,0.000841835
12,4053.56,1.77201,2.76038,2.09594,0.90258,0.75591,0.84694,0.56159,2.4299,2.78311,2.49258,0.000759318,0.000759318,0.000759318
13,4395.11,1.75793,2.48546,2.07874,0.83685,0.74803,0.8203,0.54269,2.38677,2.65873,2.44727,0.000676802,0.000676802,0.000676802
14,4736.01,1.66044,2.277,2.03728,0.83239,0.75591,0.84744,0.58614,2.35457,2.41159,2.35778,0.000594286,0.000594286,0.000594286
15,5076.71,1.66733,2.21275,2.06541,0.84707,0.74146,0.84317,0.57173,2.47952,2.29516,2.49251,0.000511769,0.000511769,0.000511769
16,5416.64,1.61713,2.02825,2.00337,0.88461,0.72438,0.82274,0.57221,2.45338,2.25672,2.43791,0.000429253,0.000429253,0.000429253
17,5756.14,1.55204,1.93014,1.98381,0.87883,0.71654,0.85658,0.59239,2.32068,2.1281,2.40287,0.000346736,0.000346736,0.000346736
18,6095.76,1.52514,1.84047,1.98292,0.88432,0.75591,0.87367,0.60715,2.41951,2.01202,2.43265,0.00026422,0.00026422,0.00026422
19,6420.61,1.40272,1.69556,1.91636,0.83686,0.80782,0.87898,0.62573,2.33389,1.95266,2.37665,0.000181703,0.000181703,0.000181703
20,6730.63,1.42757,1.67495,1.92976,0.96066,0.76911,0.88238,0.6168,2.36689,1.93122,2.4036,9.91865e-05,9.91865e-05,9.91865e-05
