epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.955,1.0993,2.77383,1.26005,0.00776,0.81102,0.55593,0.33553,1.29027,3.67316,1.3259,0.00051677,0.00051677,0.00051677
2,734.499,1.17475,1.97123,1.34334,0.8754,0.33193,0.54434,0.29626,1.40266,3.21194,1.59405,0.000998225,0.000998225,0.000998225
3,1073.61,1.21984,1.81874,1.37924,0.01058,0.14961,0.00409,0.002,2.3061,7.16394,3.36978,0.00142687,0.00142687,0.00142687
4,1409.86,1.23367,1.66375,1.40371,0.41506,0.33858,0.29534,0.17112,2.03909,3.28096,2.64691,0.00141945,0.00141945,0.00141945
5,1737.09,1.12995,1.44109,1.31752,0.63528,0.38404,0.39625,0.23528,1.73887,2.86537,2.18021,0.00133693,0.00133693,0.00133693
6,2071.45,1.11444,1.36618,1.29438,0.84101,0.55118,0.65958,0.42901,1.33615,2.10339,1.53614,0.00125442,0.00125442,0.00125442
7,2397.21,1.08123,1.24776,1.29702,0.88776,0.74734,0.8345,0.53391,1.24007,1.53369,1.48084,0.0011719,0.0011719,0.0011719
8,2721.53,1.07032,1.17248,1.30963,0.93533,0.70866,0.84592,0.55692,1.29887,1.2015,1.50882,0.00108938,0.00108938,0.00108938
9,3081.62,1.02969,1.07546,1.25298,0.85276,0.76378,0.86865,0.58223,1.2611,1.14227,1.53976,0.00100687,0.00100687,0.00100687
10,3463.14,1.00762,1.07062,1.24495,0.8892,0.6319,0.7876,0.49207,1.37035,1.17292,1.50536,0.000924352,0.000924352,0.000924352
11,3843.2,0.86794,1.00115,1.1361,0.90937,0.79528,0.88018,0.5809,1.24347,1.07394,1.4804,0.000841835,0.000841835,0.000841835
12,4205.25,0.85454,0.87629,1.14821,0.9091,0.7874,0.88894,0.58257,1.28567,0.98758,1.50483,0.000759318,0.000759318,0.000759318
13,4550.03,0.83756,0.84878,1.13278,0.83106,0.7874,0.8681,0.57031,1.27952,1.01524,1.50004,0.000676802,0.000676802,0.000676802
14,4934.34,0.84311,0.83201,1.14016,0.91564,0.80315,0.90371,0.6054,1.24699,0.94009,1.47033,0.000594286,0.000594286,0.000594286
15,5343.29,0.84611,0.78161,1.13108,0.96945,0.79528,0.93212,0.64154,1.23123,0.86015,1.41394,0.000511769,0.000511769,0.000511769
16,5660.63,0.77506,0.70109,1.07635,0.9777,0.7874,0.9235,0.65126,1.11478,0.83601,1.35421,0.000429253,0.000429253,0.000429253
17,6006.27,0.75537,0.70709,1.08504,0.96163,0.80315,0.93315,0.65259,1.14297,0.78779,1.36463,0.000346736,0.000346736,0.000346736
18,6420.18,0.73463,0.6346,1.06564,0.9164,0.86317,0.94247,0.65653,1.14835,0.7922,1.35624,0.00026422,0.00026422,0.00026422
19,6765.84,0.70597,0.60018,1.04122,0.92122,0.87402,0.94808,0.66681,1.1086,0.78056,1.32611,0.000181703,0.000181703,0.000181703
20,7153.14,0.70228,0.59644,1.05543,0.93692,0.85827,0.94577,0.66344,1.08166,0.76536,1.30325,9.91865e-05,9.91865e-05,9.91865e-05
